"No","テーマ","質問（要約）","質問の原文（抜粋）","質問者","質問日時","ch・スレ","質問リンク","回答状況","回答要旨","回答者","回答種別","回答日時","回答リンク","未回答の論点メモ・備考"
"1","コース・料金・支援のしかた","クレジットカードの引き落とし時期はいつになるのか（募集期限の10月／11月まで引かれないのか）","クラファンのクレカ引き落とし時期って、期限の10月になるんでしょうか？","やつふさいぶき さん","2026-08-15 00:03","先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537839210751336558","未回答","引き落としの設定次第ですねぇ","すみれ@笑大阪 さん","メンバー推測","2026-08-15 00:04","https://discord.com/channels/1497518632761163797/1499610863244673134/1537839335531880489","運営からの回答は期間中に確認できませんでした。"
"2","コース・料金・支援のしかた","書籍クラファンのリターンにあった「関連イベント」と、今回の「世界縁日」は別物なのか","書籍のリターンの関連イベント、と世界縁日は別物ということですか...？","na さん","2026-08-15 00:16","先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537842328419569695","未回答","書籍リターン関連イベントと、今回の世界縁日は別物なのかどうか
その辺りも、明日のスペースや今後のご説明のなかで触れられるのかと。","いっぽ さん
あっしー🎧🌱🚿 さん","運営（質問受付のみ・回答ではない）
メンバー推測","2026-08-15 17:12
2026-08-15 00:18","https://discord.com/channels/1497518632761163797/1499610863244673134/1538098037094752306
https://discord.com/channels/1497518632761163797/1499610863244673134/1537842826661073027","いっぽさんが質問一覧として受け付け・スペース質問箱へ転記済み。スペース内での明示的な回答は確認できませんでした。"
"3","コース・料金・支援のしかた","「Tシャツ単品」「法被単品」などグッズだけのコースを追加してほしい（リターンが重複してしまう）","もし可能であれば、「Tシャツ単品」「法被単品」などのコースもご検討いただけましたら幸いです。
参加権なし法被のみリターンというメニューを増やせるかどうか？
法被は別で買わして欲しい","上月 さん
ヨシコサン さん
dk さん","2026-08-15 10:44
2026-08-15 08:58
2026-08-15 19:01","先行情報
先行情報
先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1538000275413930075
https://discord.com/channels/1497518632761163797/1499610863244673134/1537973744088129586
https://discord.com/channels/1497518632761163797/1499610863244673134/1538125465825316884","運営回答あり","グッズのみのプランがほしい、という要望も出ており、今後追加を検討。ただしプランを増やしすぎると選びづらくなるため、まずは最小限から始めているとのことです","引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言","2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","スペース中の実況でも「別売りきたー」と反応が出ています（dk さん 8/15 20:37）。実際の追加時期・内容は未確定。"
"4","コース・料金・支援のしかた","現地に行けない人向けのコースがほしい（カンファレンス招待が付かず、リターン品だけのコース）","行けない人に魅力的なコースがあまりなくて選べない
「カンファレンスへのご招待」がついていないコースがあればとても助かります。","たかえ さん
たかえ さん","2026-08-15 21:24
2026-08-16 01:18","雑談
スペース質問箱","https://discord.com/channels/1497518632761163797/1499907191623123096/1538161392039886928
https://discord.com/channels/1497518632761163797/1515253025940312237/1538220336309469245","一部のみ回答","現地に行けない人向けのコースがほしい → アイデア募集中。「#祭り制作室」などで意見をもらえたら検討したい、とのことです","引地 耕太 さん（出典：しあらー さんのスペースまとめ）","スペース発言","2026-08-15 22:19","https://discord.com/channels/1497518632761163797/1515363070245867622/1538175200321863731","スペース（8/15 20時台）では「アイデア募集中」との回答。ただし たかえ さんの具体案（8/16 01:18 投稿）はスペースより後で、これ自体への回答はまだありません。"
"5","コース・料金・支援のしかた","支援したあとにコースを変更することはできるか","・一旦支援してからのコース変更は今回も受け付けるのか","haibara🌱🚿 さん","2026-08-15 03:12","先行情報","https://discord.com/channels/1497518632761163797/1499610863244673134/1537886536916410458","未回答","支援後のコース変更の可否について","いっぽ さん","運営（質問受付のみ・回答ではない）","2026-08-15 17:12","https://discord.com/channels/1497518632761163797/1499610863244673134/1538098037094752306","運営が質問として受け付け済み。回答は未確認。"
"6","コース・料金・支援のしかた","前回クラファンの4th Goal（祭り開催）を達成しているのに、なぜ改めてクラファンが必要なのか。前回の4th Goal分は具体的にどこへ投資されたのか","あの「達成したら祭りが開催できる」という4thゴールは一体なんだったのか、とはならないように考えていただきたいです。
前回クラファン4th Goalが秋のイベント規模グレードアップでしたが、具体的にどのあたりに投資されているのでしょうか。","或＝未来樹（アルミラージュ） さん
tommy さん","2026-08-15 14:03
2026-08-15 14:12","スペース質問箱
スペース質問箱","https://discord.com/channels/1497518632761163797/1515253025940312237/1538050542704525412
https://discord.com/channels/1497518632761163797/1515253025940312237/1538052656105398404","未回答","やはり前の4th Goalの分が中之島公会堂屋内のイベントなのね
トークイベントが基本設計で、それ以上の分を今回のクラファンで積み上げる感じ","tommy さん
tommy さん","メンバー推測
メンバー推測","2026-08-15 20:28
2026-08-15 20:29","https://discord.com/channels/1497518632761163797/1499907191623123096/1538147249052323930
https://discord.com/channels/1497518632761163797/1499907191623123096/1538147529730822215","メンバーはスペースを聞いて「前回4th Goal分＝公会堂屋内のイベント、今回はその上積み」と解釈していますが、運営からの明示的な説明は確認できていません。支援に対する不信につながりうる論点なので、正式な整理があると効きます。"
"7","コース・料金・支援のしかた","All-in方式で1st Goal未達だった場合、世界縁日はどんな内容になるのか","(万が一)1st Goal未達の場合はどんな世界縁日になるのか知りたい","tommy さん","2026-08-15 14:12","スペース質問箱","https://discord.com/channels/1497518632761163797/1515253025940312237/1538052656105398404","未回答","（回答なし）","","","","","回答は未確認。"
"8","コース・料金・支援のしかた","当日のプログラムに反映させるには、上位ゴール（2nd〜4th）をいつまでに達成している必要があるか","「当日プログラムに関わる上位ゴール（2nd〜4th）の内容を当日に反映させるには、いつまでに達成している必要があるか」目安の期日などは決まっていますでしょうか？","nao@福岡🌱🚿 さん","2026-08-15 17:10","スペース質問箱","https://discord.com/channels/1497518632761163797/1515253025940312237/1538097499276054528","未回答","（回答なし）","","","","","回答は未確認。遠方勢の支援判断・拡散のタイミングに直結する質問です。"
"9","コース・料金・支援のしかた","支援金の使途（今回はイベント運営費50%＋COMMONs運営費50%）は、前回とどう違うのか","で今回のクラファンは ・イベント運営費（50%） ・COMMONs運営費（50%）","たかえ さん","2026-08-15 17:27","雑談","https://discord.com/channels/1497518632761163797/1499907191623123096/1538101746688327700","未回答","（回答なし）","","","","","メンバーが前回クラファンの内訳と比較して疑問を提起。運営回答は未確認。"
"10","コース・料金・支援のしかた","入場無料にすることで、文化を楽しみに来た人が困る事態にならないか（客層・秩序を仕組みで担保できるか）","文化や創造を純粋に楽しみたい人たちが、そういったものに阻害されることなく愉しむことが出来るのかどうかを、仕組みや体制である程度保証する必要があると感じます。","或＝未来樹（アルミラージュ） さん","2026-08-15 14:03","スペース質問箱","https://discord.com/channels/1497518632761163797/1515253025940312237/1538050542704525412","未回答","（回答なし）","","","","","回答は未確認。"
